quarter,RGDP,RCON,RINV,RGOV,NWAGE,DEFL,EMP
17168,1934.5,1199.4,222.7,478.7,118.8,12.566,43569
17258,1932.3,1219.3,205.6,482.8,121.2,12.745,43646
17349,1930.3,1223.3,199.6,485.9,123.9,12.957,43968
17441,1960.7,1223.6,238.2,482.5,128.2,13.276,44494
17533,1989.5,1229.8,262.6,488.6,131.6,13.379,44633
17624,2021.9,1244.1,278.9,505,133.3,13.497,44733
17715,2033.2,1245.9,281.7,515,138,13.747,45210
17807,2035.3,1255.8,268.3,533.8,139,13.789,45158
17899,2007.5,1257.9,228,548.6,136.7,13.717,44470
17989,2000.8,1277.1,197.7,572.5,134.9,13.579,43984
18080,2022.8,1280,214.1,577.6,133.9,13.509,43645
18172,2004.7,1298.8,203.6,565.8,133.1,13.518,43237
18264,2084.6,1320.4,251.9,557.1,136.8,13.49,43593
18354,2147.6,1342.1,278.9,566.6,143,13.538,44726
18445,2230.4,1411,302.9,557.3,150.9,13.832,46028
18537,2273.4,1368.4,341.3,597.2,158,14.09,46782
18629,2304.5,1401.5,306.5,660.9,165.3,14.596,47579
18719,2344.5,1361.9,313.6,748.8,171,14.692,47959
18810,2392.8,1377.7,290.5,830.9,173.5,14.701,48009
18902,2398.1,1385.8,267.3,874.8,176.6,14.869,48155
18994,2423.5,1388.9,274.3,900.5,181,14.863,48441
19085,2428.5,1416.1,253.6,930.7,182.1,14.882,48516
19176,2446.1,1423,267.2,940,186,15.048,48795
19268,2526.4,1473.3,286.5,955.6,193.5,15.091,49859
19360,2573.4,1490.8,292.6,985.5,197.1,15.096,50320
19450,2593.5,1499.8,294.3,1005.9,200,15.125,50482
19541,2578.9,1496.3,288.1,995.2,200.2,15.188,50463
19633,2539.8,1486.4,267.3,992.4,198.7,15.219,49950
19725,2528,1491.8,265.4,967.3,196.5,15.266,49336
19815,2530.7,1511.3,264.8,934.3,196,15.281,49013
19906,2559.4,1531.8,277.6,914.3,196.4,15.3,48847
19998,2609.3,1564,289.7,908.6,200.4,15.343,49151
20090,2683.8,1599.1,318.7,909.2,204.1,15.417,49701
20180,2727.5,1629.7,337.9,900.5,209.9,15.481,50516
20271,2764.1,1649.8,343.1,906.1,215.3,15.59,51119
20363,2780.8,1670.5,351.1,888.3,219.5,15.743,51609
20455,2770,1673.2,341.1,888.1,223.4,15.902,52146
20546,2792.9,1678.8,338.4,905.9,227.6,15.997,52488
20637,2790.6,1682.6,335.4,898.3,230,16.197,52395
20729,2836.2,1705.8,332.2,920.7,235.4,16.264,52844
20821,2854.5,1717.5,327.1,940.7,238.3,16.485,53047
20911,2848.2,1720.5,326.8,935.7,239.7,16.601,53151
21002,2875.9,1734.1,334.2,943.5,241.9,16.701,53060
