c_num,s_num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,1,38869,0.76569,9.154,1.5428,12.849,2168.9,45.064,138.94,0.11249,10.819,0.10397,15.975,33.557,0.71517,0.026586,909.93,61.238,0.56193,148.24,1218.2,365.56,41.136,61.927,0.96385,1.4614,0.035061,18.687,2.5579,0.032508,0.69555,9.2703,129.4,220.05,2601
1,2,2.47,12805,17.452,2.0787,3.4803,6.6157,44.021,456.43,6.4621,9.6891,5.1805,27.488,19.89,7.3136,80.191,0.17545,0.47802,5.1806,457.51,6.2944,1.7855,0.64551,24.288,16.874,0.84795,21.416,22.523,17.099,62.272,6.3067,5.1553,1.53,10.452,229.29
1,3,1.9969,32.247,4145,6.4016,12.586,88.098,48.134,699.9,80.129,183.09,26.585,1056.7,407.97,40.712,43.945,19.692,12.554,29.747,248.13,26.801,6.9391,1.2992,2224.7,53.768,16.723,24.044,131.46,15.698,2.698,88.847,13.196,0.55469,35.253,685.93
1,4,31.367,42.746,238.44,1.33E+05,102.34,8008.4,27.457,1758.6,67.366,817.6,65.383,250.13,376.17,63.682,8.9191,147.61,27.555,36.335,702.59,733.81,484.63,34.36,1183.7,56.6,353.67,30.324,279.76,6.222,22.28,85.433,123.95,94.21,718.14,3775.1
1,5,17.123,6.2532,264.11,111.13,48986,1653.4,9.8822,318.99,35.47,56.135,10.882,83.683,245.55,23.308,2.5647,483.09,271.38,14.596,223.3,3015.4,143.94,1201.5,99.821,12.695,26.722,1.6947,49.022,2.4842,1.2928,5.1902,208.65,29.431,5239.2,4023.9
1,6,87.948,41.182,69.4,101.71,211.58,8.56E+05,37.091,619.32,15.643,158.9,7.2665,158.65,249.5,24.419,14.721,611.14,73.249,14.191,360.42,1919.1,1140.7,154.02,432.39,78.423,24.94,26.258,543.39,14.522,6.395,9.6803,108.23,267.09,1097.7,3902.1
1,7,1.7972,345.84,17.222,0.74564,1.9019,10.197,11154,824.48,3.7864,6.9645,4.3571,23.38,12.108,3.1443,47.916,0.68455,2.057,1.6909,42.978,27.838,1.1581,0.39257,41.453,218.71,0.44101,22.581,23.279,122.09,8.9583,7.9773,1.6438,0.68174,13.162,81.706
1,8,11.205,878.61,581.38,56.067,27.756,213.37,257.16,66554,604.53,253.1,137.75,505.13,489.75,68.574,154.53,20.539,11.72,79.373,638.46,74.423,41.707,8.7978,2458.3,485.92,56.236,64.906,169.03,66.951,18.566,295.09,98.409,13.808,211.24,3019.9
1,9,0.7938,20.026,43.064,8.5096,4.1343,986,19.542,1192.8,10613,91.944,62.672,123.19,81.658,33.191,9.8456,2.9805,0.42681,4.8396,121.77,25.162,23.38,2.3668,169.14,68.597,4.6095,3.4886,175.11,3.1695,2.082,268.14,5.4147,2.2885,26.11,391.58
1,10,6.3255,266.16,424.72,33.712,36.908,46.456,219.11,4012.6,285.03,50899,163.66,2908.5,1755.1,75.628,56.328,1.2258,1.7492,134.97,1369.5,62.388,5.7377,20.265,1260.4,671.28,1273.3,21.157,152.32,60.209,44.321,265.61,35.297,2.2498,315.63,2339.4
1,11,0.12639,1.9393,6.8364,0.093,0.66543,323.68,1.4548,112.02,75.602,2.8671,12902,9.7778,12.314,21.945,0.73645,0.060412,0.15737,16.311,37.721,7.0321,3.4468,0.063145,5.5896,15.418,0.69533,0.31486,25.64,0.46673,0.10379,98.613,0.63976,0.29304,10.328,86.644
1,12,24.626,91.611,2208.9,77.401,76.528,331.21,62.748,3267.5,166.32,1941.2,49.832,1.02E+05,1268.4,147.71,83.7,19.942,32.311,232.35,3344.5,173.55,27.054,27.262,2509.6,143.47,415.79,50.601,405.19,27.635,11.378,114.75,54.576,18.852,318.8,6811.5
1,13,34.837,19.072,110.06,67.19,38.403,135.25,17.516,248.07,110.93,344.56,24.991,290.24,49463,14.212,22.935,9.284,10.243,799.6,144.99,45.52,8.2805,0.75386,517.63,47.898,102.74,2.855,10.356,4.9277,1.736,47.335,17.59,24.046,515.01,610.76
1,14,4.0684,18.343,22.587,0.10075,4.3569,6.1763,35.863,337.16,16.525,46.919,9.6833,35.706,80.994,15109,11.535,18.74,3.4195,2.8715,251.37,13.049,32.975,19.968,100.49,44.002,20.712,41.665,86.295,8.9948,8.3622,12.112,148.53,3.7328,156.4,620.63
1,15,0.90657,322.74,22.934,0.47588,2.2227,7.1937,52.517,634.87,12.065,20.055,8.379,61.263,17.345,80.278,10736,0.18076,0.10264,14.694,480.3,7.4236,25.834,0.21431,171.36,142.56,6.5824,252.83,64.9,106.67,94.417,9.8811,104.94,1.0618,7.7289,698.42
1,16,31.52,12.841,21.217,88.765,54.798,982.3,5.6614,187.57,33.051,29.848,6.2493,70.035,61.463,0.6666,3.4044,90994,55.154,1.0681,112.63,531.61,100.97,22.587,20.575,25.124,0.7249,7.5196,10.857,6.3933,6.1771,1.1297,32.618,34.484,465.87,628.22
1,17,85.968,22.006,63.592,75.446,77.296,2422.2,20.243,456.24,13.774,76.395,8.2694,103.37,239.8,42.413,6.61,418.18,2.52E+05,4.8234,207.69,228.3,290.88,78.269,237.6,54.335,17.787,11.065,332.69,5.8982,2.5755,16.295,111.53,391.51,2245.3,4750.7
1,18,1.9251,1.3618,5.8557,0.69973,2.6059,15.015,0.58512,29.412,8.0453,36.995,3.1873,40.136,576.36,0.6813,0.58805,0.12066,1.7216,7626.5,61.043,5.2411,0.077031,0.0068525,19.032,0.86855,1.1794,0.038122,4.3111,0.29194,0.097047,0.79369,0.95944,0.032764,41.814,2.7043
1,19,9.5819,359.67,223.89,22.324,37.444,46.784,149.55,2409,183.54,335.64,33.978,612.41,432.4,146.68,70.75,2.477,8.025,22.003,67689,58.928,8.8073,12.182,255.45,263.54,34.331,73.076,135.93,47.951,118.17,128.44,62.187,5.6034,186.11,2104.2
1,20,5.8193,0.32238,0.86605,2.8242,5.2173,105.26,0.58538,9.5851,4.7505,1.702,0.25024,5.9717,4.6298,0.49945,0.44161,9.0599,2.7583,0.44659,4.3848,1.26E+05,121.36,1.3528,10.261,0.24736,0.1129,0.0012254,6.9055,0.057003,0.021774,0.22638,0.83671,98.812,321.36,84.457
1,21,3.638,0.16889,0.94467,5.1249,5.0627,79.471,0.044306,0.8801,3.2872,0.73319,0.0040427,3.5392,1.0204,2.4852,0.012652,8.3395,1.5221,0.012094,0.66121,179.73,43496,2.436,6.1648,0.31693,0.010084,0,2.2152,0.001088,0.00037844,0.39212,1.1287,26.649,135.38,49.37
1,22,6.4301,2.2295,20.442,11.272,419.83,102.14,4.3746,87.974,2.8287,37.709,0.76441,34.545,40.738,2.4148,0.033267,2.8252,0.45416,1.9763,97.249,155.38,4.8255,55933,32.733,2.521,2.1044,0.19815,4.0572,1.0299,0.31806,2.7998,12.792,3.1419,3285.2,798.19
1,23,41.15,425.24,2210.1,44.626,163.16,259.66,293.04,9227.1,905.53,674.12,275.85,1833.5,2943.4,136.68,179.89,16.307,16.495,356.09,1187,232.62,33.949,134.12,11111,615.22,113.19,127.44,459.88,51.761,67.527,836.02,77.166,14.641,566.15,3233.7
1,24,0.47509,77.63,38.927,0.34758,3.108,3.754,146.99,984.55,139.33,33.463,57.331,104.21,164.25,18.592,41.244,0.1089,0.30916,10.33,170.77,1.8309,0.61355,0.25662,220.16,41130,2.076,41.084,154.28,52.185,4.5977,46.425,1.9283,0.19596,8.701,806.1
1,25,0.52917,19.899,17.793,21.807,5.3716,28.516,21.421,40.669,11.518,653.61,1.4044,90.922,90.605,6.493,0.58989,0.084351,0.074768,10.983,79.695,13.781,0.32227,0.52313,62.571,11.099,10058,12.409,7.2916,0.1333,0.097441,2.3151,0.84615,1.0873,23.821,117.49
1,26,0.008522,18.348,60.638,0,0.066201,17.227,3.084,104.18,0.61907,71.643,0.16349,65.945,7.4136,42.82,46.996,0.028743,0.42934,0.17562,176.03,0.9682,0.1183,0.0026216,251.54,6.2515,17.658,26049,6.2609,1.3539,5.8291,0.055621,180.06,0,0.86507,854.29
1,27,0.0036545,3.8025,4.2693,0.024771,0.30429,1535.5,0.32962,14.383,2.1483,5.5014,468.55,1.6437,3.3438,14.629,0.035353,5.2172,11.745,0.0027841,38.373,705.42,315.42,0.00055434,4.6959,3.3934,0.071846,0.38763,1.20E+05,0.056289,0.14298,53.966,139.29,0.32261,14.772,895.21
1,28,0.25112,174.67,8.6997,0.085787,0.39364,34.872,262.33,120.51,6.1692,9.4716,2.0763,13.229,12.954,3.6191,127.87,0.10931,0.32422,0.27825,64.987,0.097975,0.34555,0.0504,40.921,134.07,0.20818,20.316,3.7444,5989,6.814,1.7945,8.4664,0.45673,1.9508,89.055
1,29,0.15866,85.154,1.6367,0.027581,0.31736,2.8401,1.8193,22.429,2.6499,1.4939,0.29715,1.9037,5.7602,1.3649,12.669,0.030651,0.81712,0.45459,159.88,0.69309,0.043465,0.58814,3.5564,10.508,0.086394,8.3394,2.8884,1.2836,2004,1.1174,0.20599,7.9328,14.026,124.17
1,30,0.34724,1.2742,43.715,0.042156,0.31713,3.5379,1.2455,101.78,284.31,87.156,175.02,35.928,87.98,1.3825,1.9717,1.27,0.072587,3.2609,66.634,3.5122,0.24442,0.23857,18.975,136.43,25.958,0.40744,11.909,0.14231,0.19128,13575,0.27105,2.016,13.486,58.953
1,31,50.456,77.983,100.05,39.805,82.198,55.066,41.031,1071.6,38.791,108.21,5.9734,283.84,230.8,119.93,30.52,77.211,26.852,12.27,465.2,74.193,25.418,17.494,235.87,147.38,8.2152,110.48,608.03,16.909,7.4221,29.437,78989,10.37,244.78,1615.6
2,1,5.9518,0.28493,0.13174,0.37965,5.304,61.742,0.64848,4.9615,1.3359,0.22508,0.01042,1.4237,2.6442,0.25236,0.00031859,2.5276,0.85666,0.031755,5.6705,552.96,28.833,0.17494,7.7825,0.058657,0.0039112,0.00031209,40.974,0.0031709,0.024958,0.092637,0.12291,14437,559.35,84.69
2,2,122.26,29.342,240.17,405.83,3890.6,13783,30.641,1389,75.51,1264.6,19.618,888.81,508.03,60.742,14.292,1283.2,187.65,77.218,906.23,11250,3988.1,6940.8,771.06,55.773,119.85,24.683,403.4,7.5689,29.057,55.95,694.34,2137.5,3.28E+05,10466
2,3,725.38,790.42,3997.3,3495.5,2250.1,39885,717.66,11837,838.91,4603.9,1210.4,4916.7,4588.8,630.99,173.2,1152.2,3370.3,280.71,4299.2,7995.1,3359.5,1028.4,8474.8,1718.9,906.83,331.13,16183,449.24,207.44,1488,3031.7,1368.8,18348,9.05E+05
