AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
293.00,66.00,1.00,30.00,29.00,14.00,1.00,293.00,66.00,1.00,30.00,29.00,14.00,446.00,33.00,20.00,
315.00,81.00,7.00,24.00,38.00,39.00,14.00,3449.00,835.00,69.00,321.00,414.00,375.00,632.00,43.00,10.00,475.00
479.00,130.00,18.00,66.00,72.00,76.00,3.00,1624.00,457.00,63.00,224.00,266.00,263.00,880.00,82.00,14.00,480.00
496.00,141.00,20.00,65.00,78.00,37.00,11.00,5628.00,1575.00,225.00,828.00,838.00,354.00,200.00,11.00,3.00,500.00
321.00,87.00,10.00,39.00,42.00,30.00,2.00,396.00,101.00,12.00,48.00,46.00,33.00,805.00,40.00,4.00,91.50
594.00,169.00,4.00,74.00,51.00,35.00,11.00,4408.00,1133.00,19.00,501.00,336.00,194.00,282.00,421.00,25.00,750.00
185.00,37.00,1.00,23.00,8.00,21.00,2.00,214.00,42.00,1.00,30.00,9.00,24.00,76.00,127.00,7.00,70.00
298.00,73.00,0.00,24.00,24.00,7.00,3.00,509.00,108.00,0.00,41.00,37.00,12.00,121.00,283.00,9.00,100.00
323.00,81.00,6.00,26.00,32.00,8.00,2.00,341.00,86.00,6.00,32.00,34.00,8.00,143.00,290.00,19.00,75.00
401.00,92.00,17.00,49.00,66.00,65.00,13.00,5206.00,1332.00,253.00,784.00,890.00,866.00,0.00,0.00,0.00,1100.00
574.00,159.00,21.00,107.00,75.00,59.00,10.00,4631.00,1300.00,90.00,702.00,504.00,488.00,238.00,445.00,22.00,517.14
202.00,53.00,4.00,31.00,26.00,27.00,9.00,1876.00,467.00,15.00,192.00,186.00,161.00,304.00,45.00,11.00,512.50
418.00,113.00,13.00,48.00,61.00,47.00,4.00,1512.00,392.00,41.00,205.00,204.00,203.00,211.00,11.00,7.00,550.00
239.00,60.00,0.00,30.00,11.00,22.00,6.00,1941.00,510.00,4.00,309.00,103.00,207.00,121.00,151.00,6.00,700.00
196.00,43.00,7.00,29.00,27.00,30.00,13.00,3231.00,825.00,36.00,376.00,290.00,238.00,80.00,45.00,8.00,240.00
183.00,39.00,3.00,20.00,15.00,11.00,3.00,201.00,42.00,3.00,20.00,16.00,11.00,118.00,0.00,0.00,
568.00,158.00,20.00,89.00,75.00,73.00,15.00,8068.00,2273.00,177.00,1045.00,993.00,732.00,105.00,290.00,10.00,775.00
190.00,46.00,2.00,24.00,8.00,15.00,5.00,479.00,102.00,5.00,65.00,23.00,39.00,102.00,177.00,16.00,175.00
407.00,104.00,6.00,57.00,43.00,65.00,12.00,5233.00,1478.00,100.00,643.00,658.00,653.00,912.00,88.00,9.00,
127.00,32.00,8.00,16.00,22.00,14.00,8.00,727.00,180.00,24.00,67.00,82.00,56.00,202.00,22.00,2.00,135.00
413.00,92.00,16.00,72.00,48.00,65.00,1.00,413.00,92.00,16.00,72.00,48.00,65.00,280.00,9.00,5.00,100.00
426.00,109.00,3.00,55.00,43.00,62.00,1.00,426.00,109.00,3.00,55.00,43.00,62.00,361.00,22.00,2.00,115.00
22.00,10.00,1.00,4.00,2.00,1.00,6.00,84.00,26.00,2.00,9.00,9.00,3.00,812.00,84.00,11.00,
472.00,116.00,16.00,60.00,62.00,74.00,6.00,1924.00,489.00,67.00,242.00,251.00,240.00,518.00,55.00,3.00,600.00
629.00,168.00,18.00,73.00,102.00,40.00,18.00,8424.00,2464.00,164.00,1008.00,1072.00,402.00,1067.00,157.00,14.00,776.67
587.00,163.00,4.00,92.00,51.00,70.00,6.00,2695.00,747.00,17.00,442.00,198.00,317.00,434.00,9.00,3.00,765.00
