biden,female,age,educ,dem,rep
90,0,19,12,1,0
70,1,51,14,1,0
60,0,27,14,0,0
50,1,43,14,1,0
60,1,38,14,0,1
85,1,27,16,1,0
60,1,28,12,0,0
50,0,31,15,1,0
50,1,32,13,0,0
70,0,51,14,1,0
50,0,26,12,0,0
70,1,48,12,1,0
60,0,59,11,0,0
30,0,20,14,0,0
50,0,31,15,0,0
85,0,49,11,0,0
70,0,18,12,0,1
85,0,69,10,1,0
70,1,37,14,0,0
60,0,63,11,1,0
50,1,19,13,0,1
85,0,52,11,0,0
85,1,53,17,1,0
50,0,20,13,0,0
85,0,60,17,0,0
0,1,70,12,0,1
50,0,18,11,0,0
85,1,26,12,1,0
60,1,26,12,0,0
60,1,37,12,1,0
60,0,41,12,0,1
0,0,45,12,0,1
30,1,30,11,0,0
50,0,45,9,0,0
70,1,64,13,0,0
85,0,41,11,0,0
40,0,31,13,0,0
50,0,20,13,0,0
60,0,33,11,1,0
85,1,30,13,1,0
50,1,26,13,0,0
50,1,47,14,1,0
40,1,24,14,0,0
60,0,34,12,0,0
15,0,37,16,0,0
85,1,52,12,1,0
100,1,19,13,1,0
70,0,80,17,0,0
70,1,26,9,1,0
50,0,43,12,0,0
40,0,23,13,0,0
85,0,38,11,0,0
50,1,33,16,0,0
40,0,18,12,1,0
50,0,54,12,0,0
50,1,35,12,0,0
50,0,34,13,0,1
70,1,40,14,1,0
50,0,18,12,1,0
50,0,51,12,0,1
60,1,51,14,0,0
70,1,23,12,1,0
85,1,28,15,0,0
100,1,36,9,0,0
50,0,50,10,0,0
85,0,46,12,0,0
85,0,20,11,1,0
90,1,74,10,0,0
60,0,43,14,1,0
30,1,37,17,0,1
0,0,40,14,0,0
15,0,33,12,1,0
85,0,20,12,1,0
100,1,67,8,1,0
50,0,21,12,0,0
15,0,44,12,0,1
60,1,21,13,0,0
50,0,30,11,0,0
70,1,23,11,0,0
60,0,51,8,0,0
50,0,30,16,0,1
60,0,43,13,0,1
60,1,28,14,1,0
50,0,29,14,0,0
50,0,48,12,1,0
100,1,29,12,1,0
70,0,24,10,1,0
50,0,35,13,0,0
50,0,54,11,0,1
100,1,26,12,1,0
85,0,59,12,0,0
50,1,20,12,0,0
85,1,37,12,0,0
50,0,61,10,1,0
70,1,41,15,0,0
50,0,25,12,1,0
60,0,26,12,1,0
85,1,19,12,1,0
50,0,21,12,0,0
70,1,44,7,1,0
50,0,36,12,0,0
100,0,63,16,0,0
50,0,62,12,0,1
85,1,22,12,1,0
50,1,67,12,0,0
100,1,21,12,1,0
40,0,54,11,1,0
50,0,43,12,0,0
100,0,69,12,1,0
85,1,65,11,1,0
60,0,40,12,1,0
85,1,28,10,1,0
85,0,34,12,1,0
40,0,25,14,0,1
50,1,28,11,0,0
70,0,32,10,1,0
50,0,29,17,0,0
60,1,28,15,0,0
30,1,45,17,0,1
50,1,21,12,0,0
50,0,18,12,0,0
85,0,72,12,1,0
50,1,57,12,0,0
70,1,57,11,1,0
50,1,37,14,0,0
50,0,19,14,0,0
15,0,62,8,0,1
15,0,28,12,0,0
100,0,46,12,1,0
85,0,38,10,0,0
50,0,38,17,0,1
85,1,62,8,1,0
100,1,44,8,0,0
60,0,31,13,0,1
50,1,52,12,0,1
60,1,29,12,0,0
15,1,20,13,0,0
40,1,41,12,0,0
50,0,50,12,0,0
85,1,43,13,1,0
70,0,26,11,0,0
85,1,64,9,0,0
30,0,39,12,0,0
70,1,38,12,0,0
60,1,51,12,1,0
60,0,73,12,1,0
40,0,18,11,1,0
85,1,53,9,0,0
50,0,42,11,1,0
50,0,44,11,0,0
100,1,64,1,1,0
70,0,58,14,0,0
85,0,18,12,1,0
100,0,19,12,0,0
15,0,56,12,0,1
85,1,45,10,0,0
50,1,21,12,0,0
70,1,45,14,1,0
70,1,61,9,0,0
70,1,53,11,0,0
50,1,48,13,1,0
85,1,66,11,1,0
50,1,66,10,0,0
50,0,25,12,0,0
70,1,20,14,1,0
40,1,32,14,0,0
70,1,66,8,0,1
70,1,60,17,0,0
50,1,49,12,1,0
70,0,26,14,0,1
70,1,20,11,0,0
50,1,18,12,1,0
50,0,30,12,0,0
70,0,31,14,0,1
50,0,52,14,1,0
100,1,54,17,1,0
50,1,28,13,0,1
70,0,45,12,0,0
50,1,44,12,1,0
85,0,46,17,0,0
50,0,20,12,0,0
50,0,19,12,0,0
100,1,32,12,0,0
50,0,54,12,0,0
100,0,19,12,1,0
60,0,46,12,0,0
100,1,41,12,1,0
60,0,56,17,0,0
85,1,19,12,1,0
