0.407,0.272,0.291,0.342,0.425,0.694,1.8
0.4,0.287,0.317,0.378,0.47,0.74,1.95
0.395,0.301,0.345,0.415,0.517,0.79,2.11
0.39,0.317,0.374,0.455,0.567,0.843,2.29
0.387,0.332,0.404,0.497,0.619,0.9,2.47
0.384,0.349,0.435,0.54,0.673,0.959,2.67
0.382,0.365,0.467,0.585,0.728,1.02,2.87
0.381,0.382,0.5,0.631,0.786,1.09,3.09
0.381,0.4,0.533,0.678,0.844,1.16,3.32
0.381,0.418,0.567,0.726,0.904,1.24,3.56
0.382,0.436,0.602,0.774,0.964,1.31,3.81
0.383,0.455,0.636,0.823,1.02,1.4,4.06
0.386,0.474,0.671,0.872,1.09,1.48,4.33
0.388,0.493,0.705,0.922,1.15,1.57,4.61
0.391,0.512,0.74,0.97,1.21,1.66,4.89
0.395,0.532,0.774,1.02,1.27,1.76,5.18
0.399,0.552,0.807,1.07,1.32,1.86,5.47
0.403,0.571,0.84,1.11,1.38,1.96,5.76
0.408,0.591,0.872,1.16,1.44,2.07,6.06
0.413,0.61,0.903,1.2,1.49,2.18,6.36
0.418,0.629,0.933,1.24,1.54,2.28,6.65
0.424,0.648,0.962,1.28,1.59,2.39,6.94
0.429,0.667,0.99,1.32,1.64,2.51,7.22
0.435,0.685,1.02,1.35,1.68,2.62,7.5
0.441,0.703,1.04,1.39,1.73,2.73,7.76
0.447,0.72,1.06,1.42,1.76,2.84,8.01
0.453,0.736,1.09,1.45,1.8,2.95,8.24
0.46,0.751,1.11,1.47,1.83,3.05,8.45
0.466,0.766,1.12,1.5,1.86,3.15,8.64
0.471,0.779,1.14,1.52,1.89,3.25,8.81
0.477,0.792,1.16,1.54,1.92,3.34,8.95
0.483,0.803,1.17,1.55,1.94,3.43,9.06
0.488,0.814,1.18,1.57,1.96,3.5,9.15
0.492,0.822,1.19,1.58,1.97,3.57,9.2
0.497,0.83,1.2,1.59,1.99,3.63,9.22
0.5,0.836,1.2,1.59,2,3.68,9.21
0.503,0.841,1.21,1.6,2.01,3.72,9.16
0.506,0.844,1.21,1.6,2.02,3.75,9.08
0.508,0.845,1.22,1.6,2.02,3.77,8.96
0.509,0.845,1.22,1.6,2.03,3.77,8.82
0.509,0.843,1.22,1.6,2.03,3.76,8.64
0.508,0.839,1.21,1.6,2.03,3.74,8.43
0.506,0.834,1.21,1.59,2.03,3.71,8.19
0.503,0.827,1.21,1.58,2.03,3.66,7.93
0.499,0.819,1.2,1.58,2.03,3.6,7.64
0.495,0.809,1.2,1.57,2.03,3.52,7.33
0.489,0.797,1.19,1.56,2.03,3.44,7.01
0.481,0.784,1.18,1.55,2.02,3.34,6.66
0.473,0.769,1.17,1.54,2.02,3.23,6.31
0.464,0.753,1.16,1.54,2.02,3.11,5.95
0.453,0.735,1.15,1.53,2.02,2.99,5.58
0.442,0.717,1.15,1.52,2.02,2.86,5.21
0.43,0.697,1.14,1.51,2.02,2.72,4.84
0.416,0.676,1.13,1.5,2.02,2.57,4.48
0.402,0.654,1.12,1.49,2.02,2.42,4.12
0.387,0.631,1.11,1.48,2.02,2.27,3.77
0.371,0.608,1.1,1.47,2.03,2.12,3.44
0.355,0.584,1.09,1.47,2.03,1.97,3.11
0.338,0.559,1.08,1.46,2.04,1.82,2.81
0.32,0.535,1.07,1.46,2.05,1.67,2.52
0.304,0.511,1.06,1.45,2.01,1.65,2.41
0.289,0.489,1.04,1.45,1.97,1.61,2.29
0.275,0.468,1.03,1.44,1.92,1.58,2.19
0.262,0.449,1.02,1.44,1.87,1.55,2.1
0.251,0.431,1,1.43,1.82,1.51,2.01
0.24,0.415,0.988,1.42,1.77,1.49,1.93
0.231,0.4,0.97,1.42,1.71,1.46,1.85
0.222,0.385,0.95,1.41,1.66,1.43,1.79
0.213,0.372,0.928,1.39,1.6,1.4,1.72
0.206,0.359,0.903,1.38,1.55,1.38,1.66
0.198,0.347,0.876,1.36,1.49,1.35,1.61
0.192,0.336,0.846,1.34,1.43,1.33,1.55
0.185,0.326,0.813,1.32,1.38,1.31,1.51
0.179,0.316,0.778,1.29,1.32,1.28,1.46
0.174,0.307,0.739,1.24,1.27,1.26,1.42
0.169,0.298,0.699,1.19,1.22,1.24,1.38
0.164,0.29,0.657,1.11,1.17,1.22,1.34
0.159,0.282,0.615,1.01,1.12,1.2,1.3
0.155,0.274,0.573,0.879,1.07,1.18,1.27
0.151,0.267,0.533,0.729,1.03,1.16,1.24
