,SPX
2/1/90 0:00,328.79
2/2/90 0:00,330.92
2/5/90 0:00,331.85
2/6/90 0:00,329.66
2/7/90 0:00,333.75
2/8/90 0:00,332.96
2/9/90 0:00,333.62
2/12/90 0:00,330.08
2/13/90 0:00,331.02
2/14/90 0:00,332.01
2/15/90 0:00,334.89
2/16/90 0:00,332.72
2/20/90 0:00,327.99
2/21/90 0:00,327.67
2/22/90 0:00,325.7
2/23/90 0:00,324.15
2/26/90 0:00,328.67
2/27/90 0:00,330.26
2/28/90 0:00,331.89
3/1/90 0:00,332.74
3/2/90 0:00,335.54
3/5/90 0:00,333.74
3/6/90 0:00,337.93
3/7/90 0:00,336.95
3/8/90 0:00,340.27
3/9/90 0:00,337.93
3/12/90 0:00,338.67
3/13/90 0:00,336
3/14/90 0:00,336.87
3/15/90 0:00,338.07
3/16/90 0:00,341.91
3/19/90 0:00,343.53
3/20/90 0:00,341.57
3/21/90 0:00,339.74
3/22/90 0:00,335.69
3/23/90 0:00,337.22
3/26/90 0:00,337.63
3/27/90 0:00,341.5
3/28/90 0:00,342
3/29/90 0:00,340.79
3/30/90 0:00,339.94
4/2/90 0:00,338.7
4/3/90 0:00,343.64
4/4/90 0:00,341.09
4/5/90 0:00,340.73
4/6/90 0:00,340.08
4/9/90 0:00,341.37
4/10/90 0:00,342.07
4/11/90 0:00,341.92
4/12/90 0:00,344.34
4/16/90 0:00,344.74
4/17/90 0:00,344.68
4/18/90 0:00,340.72
4/19/90 0:00,338.09
4/20/90 0:00,335.12
4/23/90 0:00,331.05
4/24/90 0:00,330.36
4/25/90 0:00,332.03
4/26/90 0:00,332.92
4/27/90 0:00,329.11
4/30/90 0:00,330.8
5/1/90 0:00,332.25
5/2/90 0:00,334.48
5/3/90 0:00,335.57
5/4/90 0:00,338.39
5/7/90 0:00,340.53
5/8/90 0:00,342.01
5/9/90 0:00,342.86
5/10/90 0:00,343.82
5/11/90 0:00,352
5/14/90 0:00,354.75
5/15/90 0:00,354.28
5/16/90 0:00,354
5/17/90 0:00,354.47
5/18/90 0:00,354.64
5/21/90 0:00,358
5/22/90 0:00,358.43
5/23/90 0:00,359.29
5/24/90 0:00,358.41
5/25/90 0:00,354.58
5/29/90 0:00,360.65
5/30/90 0:00,360.86
5/31/90 0:00,361.23
6/1/90 0:00,363.16
6/4/90 0:00,367.4
6/5/90 0:00,366.64
6/6/90 0:00,364.96
6/7/90 0:00,363.15
6/8/90 0:00,358.71
6/11/90 0:00,361.63
6/12/90 0:00,366.25
6/13/90 0:00,364.9
6/14/90 0:00,362.9
6/15/90 0:00,362.91
6/18/90 0:00,356.88
6/19/90 0:00,358.47
6/20/90 0:00,359.1
6/21/90 0:00,360.47
6/22/90 0:00,355.43
6/25/90 0:00,352.31
6/26/90 0:00,352.06
6/27/90 0:00,355.14
6/28/90 0:00,357.63
6/29/90 0:00,358.02
7/2/90 0:00,359.54
7/3/90 0:00,360.16
7/5/90 0:00,355.68
7/6/90 0:00,358.42
7/9/90 0:00,359.52
7/10/90 0:00,356.49
7/11/90 0:00,361.23
7/12/90 0:00,365.44
7/13/90 0:00,367.31
7/16/90 0:00,368.95
7/17/90 0:00,367.52
7/18/90 0:00,364.22
7/19/90 0:00,365.32
7/20/90 0:00,361.61
7/23/90 0:00,355.31
7/24/90 0:00,355.79
7/25/90 0:00,357.09
7/26/90 0:00,355.91
7/27/90 0:00,353.44
7/30/90 0:00,355.55
7/31/90 0:00,356.15
8/1/90 0:00,355.52
8/2/90 0:00,351.48
8/3/90 0:00,344.86
8/6/90 0:00,334.43
8/7/90 0:00,334.83
8/8/90 0:00,338.35
8/9/90 0:00,339.94
8/10/90 0:00,335.52
8/13/90 0:00,338.84
8/14/90 0:00,339.39
8/15/90 0:00,340.06
8/16/90 0:00,332.39
8/17/90 0:00,327.83
8/20/90 0:00,328.51
8/21/90 0:00,321.86
8/22/90 0:00,316.55
8/23/90 0:00,307.06
8/24/90 0:00,311.51
8/27/90 0:00,321.44
8/28/90 0:00,321.34
8/29/90 0:00,324.19
8/30/90 0:00,318.71
8/31/90 0:00,322.56
9/4/90 0:00,323.09
9/5/90 0:00,324.39
9/6/90 0:00,320.46
9/7/90 0:00,323.4
9/10/90 0:00,321.63
9/11/90 0:00,321.04
9/12/90 0:00,322.54
9/13/90 0:00,318.65
9/14/90 0:00,316.83
9/17/90 0:00,317.77
9/18/90 0:00,318.6
9/19/90 0:00,316.6
9/20/90 0:00,311.48
9/21/90 0:00,311.32
9/24/90 0:00,304.59
9/25/90 0:00,308.26
9/26/90 0:00,305.06
9/27/90 0:00,300.97
9/28/90 0:00,306.05
10/1/90 0:00,314.94
10/2/90 0:00,315.21
10/3/90 0:00,311.4
10/4/90 0:00,312.69
10/5/90 0:00,311.5
10/8/90 0:00,313.48
10/9/90 0:00,305.1
10/10/90 0:00,300.39
10/11/90 0:00,295.46
10/12/90 0:00,300.03
10/15/90 0:00,303.23
10/16/90 0:00,298.92
10/17/90 0:00,298.76
10/18/90 0:00,305.74
